Syriac	Transliteration	English	PartOfSpeech	Gender	State	Root	Stem	Lesson	Notes
ܕܐܝܢܐ	dīnā	judgment	noun	m	emphatic		1
ܕܟܐ	dkā	to purify	verb			d-k-y	Peal	10
ܕܚܠ	dḥal	to fear	verb			d-ḥ-l	Peal	10
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f	emphatic		1
ܕܝܢܐ	dīnā	judgment, law	noun	m	emphatic		8
ܕܝܘܬܐ	dīyūtā	ink	noun	f	emphatic		0
ܕܢ	dān	to judge	verb			d-w-n	Peal	8
ܥܒܕ	ʿābed	to do, make	verb			ʿ-b-d	Peal	2
ܥܝܢܐ	ʿaynā	eye	noun	f	emphatic		1
ܥܡܐ	ʿammā	people	noun	m	emphatic		5
ܥܡܕ	ʿmad	to baptize	verb			ʿ-m-d	Peal	10
ܥܠܡܐ	ʿālmā	world, eternity	noun	m	emphatic		8
ܦܠܚ	flaḥ	to serve, work	verb			p-l-ḥ	Peal	3
ܦܪܩ	fraq	to save, redeem	verb			p-r-q	Peal	10
ܦܦܪܐ	p̄īrā	fruit	noun	m		8
ܦܘܡܐ	pūmā	mouth	noun	m	emphatic		1
ܦܘܪܩܢܐ	purqānā	redemption, salvation	noun	m	emphatic		5
ܦܘܠܩܕܢܐ	pūqdānā	commandment	noun	m	emphatic		6
ܠܫܢܐ	leššānā	tongue, language	noun	m	emphatic		1
ܠܚܡܐ	laḥmā	bread, food	noun	m	emphatic		6
ܠܒܘܫܐ	lbūšā	garment	noun	m	emphatic		4
ܡܐ	mānā	what	pronoun				4
ܡܠܟܐ	malkā	king	noun	m	emphatic		0
ܡܠܟܘܬܐ	malkūttā	kingdom	noun	f	emphatic		1
ܡܠܬܐ	meltā	word, Logos	noun	f	emphatic		1
ܡܓܠܬܐ	megalltā	scroll	noun	f	emphatic		0
ܡܝܐ	mayyā	water	noun	m	emphatic		1
ܡܫܚܐ	mešḥā	oil, ointment	noun	m	emphatic		6
ܡܕܒܚܐ	madbḥā	altar	noun	m	emphatic		6
ܡܕܒܪܐ	madbārā	wilderness	noun	m	emphatic		5
ܡܕܝܢܬܐ	mdīttā	city	noun	f	emphatic		1
ܡܟܛܒ	mektab	writing, book	noun	m	emphatic		9
ܢܗܪܐ	nahrā	river	noun	m	emphatic		1
ܢܡܘܣܐ	nāmūsā	law, Torah	noun	m	emphatic		0
ܢܦܩ	nfaq	to go out	verb			n-p-q	Peal	3
ܢܛܪ	nṭar	to keep, watch	verb			n-ṭ-r	Peal	3
ܢܘܗܪܐ	nūhrā	light	noun	m	emphatic		0
ܢܘܢܐ	nūnā	fish	noun	m	emphatic		1
ܢܘܪܐ	nūrā	fire	noun	f	emphatic		9
ܦܪܚܬܐ	pāraḥtā	bird	noun	f	emphatic		8
ܦܩܕ	paqed	to command	verb			p-q-d	Peal	9
ܦܣܝܐ	psōmā	grass	noun	m	emphatic		10
ܩܐܠܐ	qālā	voice, sound	noun	m	emphatic		9
ܩܒܪ	qbar	to bury	verb			q-b-r	Peal	10
ܩܕܡ	qdām	before	preposition				3
ܩܕܫ	qaddaš	to sanctify	verb			q-d-š	Paael	5
ܩܒܠ	qabbel	to receive	verb			q-b-l	Paael	6
ܩܪܐ	qrā	to call, read	verb			q-r-ʾ	Peal	7
ܩܪܒ	qreb	to draw near	verb			q-r-b	Peal	3
ܩܪܝܬܐ	qrītā	village	noun	f	emphatic		1
ܩܝܡܐ	qyāmā	covenant	noun	m	emphatic		1
ܩܠܡܐ	qalmā	pen, reed	noun	m	emphatic		0
ܩܪܨܐ	qarṣā	parchment	noun	m	emphatic		0
ܫܓܕ	sgad	to worship	verb			s-g-d	Peal	6
ܫܠܒ	ṣlab	to crucify	verb			ṣ-l-b	Peal	10
ܫܪܐ	šrā	to loosen	verb			š-r-y	Peal	3
ܫܪܪܐ	šrārā	truth, reality	noun	m	emphatic		12
ܫܒܩ	šbaq	to leave, abandon	verb			š-b-q	Peal	3
ܫܠܡܐ	šlāmā	peace	noun	m	emphatic		1
ܫܡܥ	šāmaʿ	to hear	verb			š-m-ʿ	Peal	2
ܫܡܫܐ	šemšā	sun	noun	m	emphatic		1
ܫܘܒܚܐ	šūbḥā	glory, praise	noun	m	emphatic		5
ܫܒܚ	šabbeḥ	to praise	verb			š-b-ḥ	Paael	6
ܫܐܡܫ	šammeš	to minister	verb			š-m-š	Paael	6
ܫܠܚ	šlaḥ	to strip off	verb			š-l-ḥ	Peal	12
ܫܕܪܐ	šedārā	sending, mission	noun	m	emphatic		5
ܫܘܩܐ	šūqā	street, market	noun	m	emphatic		8
ܫܐܗܕܐ	sāhdā	witness, martyr	noun	m	emphatic		1
ܫܐܦܪܐ	sāp̄rā	scribe, writer	noun	m	emphatic		0
ܫܐܗܪܐ	sahrā	moon	noun	m	emphatic		1
ܡܪܐ	ṛā	to throw, cast	verb			r-m-y	Peal	9
ܬܪܥܐ	tarʿā	door, gate	noun	m	emphatic		1
ܬܘܪܐ	tawrā	bull, ox	noun	m	emphatic		1
ܬܪܕ	trad	to cast out	verb			t-r-d	Peal	10
ܥܩܬܐ	ʿāqtā	distress, anguish	noun	f	emphatic		8
ܥܪܒܐ	ʿerbā	sheep	noun	m	emphatic		8
ܥܪܩ	ʿraq	to flee	verb			ʿ-r-q	Peal	3
ܓܘܒܐ	gūbbā	pit, cistern	noun	m	emphatic		9
ܓܪܪ	grār	to drag	verb			g-r-r	Peal	9
ܚܕܝ	ḥdī	to rejoice	verb			ḥ-d-y	Peal	9
ܚܕܘܬܐ	ḥadūtā	joy	noun	f	emphatic		8
ܚܕ	ḥad	one	number				12
ܚܘܓܙܐ	rugzā	anger, wrath	noun	m	emphatic		9
ܚܝܠܐ	ḥaylā	power, army	noun	m	emphatic		1
ܚܙܐ	ḥzā	to see	verb			ḥ-z-y	Peal	7	III-Yodh
ܚܙܝܐ	ḥāzē	to see	verb			ḥ-z-y	Peal	2
ܚܛܝܐ	ḥṭīttā	sin	noun	f	emphatic		10
ܚܝܐ	ḥayyē	life	noun	m	emphatic		1
ܚܝܡܢܘܬܐ	haymānūttā	faith, trust	noun	f	emphatic		5
ܚܟܡܬܐ	ḥekmtā	wisdom	noun	f	emphatic		8
ܚܝܘܬܐ	ḥayyūtā	animal, beast	noun	f	emphatic		8
ܚܫܘܟܐ	ḥešūḵā	darkness	noun	m	emphatic		12
ܚܝܐ	ḥyā	to live	verb			ḥ-y-y	Peal	7	III-Yodh
ܟܐܦܐ	kēpā	stone, rock	noun	f	emphatic		1
ܟܐܢܘܬܐ	kēnūttā	righteousness	noun	f	emphatic		5
ܟܗܢܐ	kāhnā	priest	noun	m	emphatic		6
ܟܗܢܘܬܐ	kahnūttā	priesthood	noun	f	emphatic		6
ܟܠܒܐ	kalbā	dog	noun	m	emphatic		8
ܟܠܠ	kallel	to crown	verb			k-l-l	Peal	10
ܟܢܘܫܬܐ	knūštā	synagogue	noun	f	emphatic		6
ܟܢܫܐ	kansā	crowd, gathering	noun	m	emphatic		9
ܟܢܫ	knaš	to gather	verb			k-n-š	Peal	10
ܟܣܐ	kāsā	cup	noun	m	emphatic		6
ܟܬܒܐ	ktābā	book, scripture	noun	m	emphatic		5
ܛܒܐ	ṭābā	good	noun	m	emphatic		1
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f	emphatic		5
ܛܘܪܐ	ṭūrā	mountain	noun	m	emphatic		8
ܥܕܡܐ	ʿdamā	until	preposition				8
ܝܗܒ	yahb	to give	verb			y-h-b	Peal	7
ܝܟܠ	yākel	to be able	verb			y-k-l	Peal	9
ܢܠܦ	yallep	to teach	verb			y-l-p	Paael	6
ܕܟܝ	dakkī	to purify	verb			d-k-y	Paael	6
ܡܠܠ	mallel	to speak	verb			m-l-l	Paael	6
ܙܒܢܐ	zabnā	time	noun	m	emphatic		8
ܙܥܩ	zʿaq	to cry out	verb			z-ʿ-q	Peal	9
ܝܕܥ	īdaʿ	to know	verb			y-d-ʿ	Peal	7	I-Yodh
ܝܬܒ	īteb	to sit	verb			y-t-b	Peal	8	I-Yodh
ܡܐܠܦ	ʾallep	to teach	verb			ʾ-l-p	Aphel	5
ܐܚܝܝ	ʾaḥyī	to save	verb			ḥ-y-y	Aphel	5
ܐܓܠܝ	ʾaglī	to reveal	verb			g-l-y	Aphel	5
ܐܪܝܡ	ʾrīm	to exalt	verb			r-m	Aphel	10
ܐܫܦܠ	ʾšpel	to humble	verb			š-p-l	Aphel	10
ܐܦܪܩ	ʾpraq	to redeem	verb			p-r-q	Aphel	5
ܐܩܪܒ	ʾaqreb	to bring near	verb			q-r-b	Aphel	5
ܐܟܪܙ	ʾkraz	to proclaim	verb			k-r-z	Aphel	5
ܫܪܝ	šarī	to begin	verb			š-r-y	Peal	9
ܡܒܪܟ	mbarrek	blessing (participle)	noun	m	emphatic		6
ܢܘܚܡ	naḥem	to comfort	verb			n-ḥ-m	Paael	11
ܬܐܒ	tāb	to return	verb			t-w-b	Peal	10
ܪܐܙܐ	rāzā	mystery	noun	m	emphatic		5
ܪܚܡܐ	raḥmē	mercy	noun	m	emphatic		5
ܐܘܠܦܢܐ	ʾūlpānā	teaching	noun	m	emphatic		5
ܢܦܠ	nfal	to fall	verb			n-p-l	Peal	11
ܡܐܘܕܝ	ʾawdī	to confess	verb			ʾ-w-d	Aphel	10
ܝܠܕ	yled	to give birth	verb			y-l-d	Peal	10
ܢܗܪ	nahar	to illuminate	verb			n-h-r	Aphel	10
ܡܠܐ	mlā	to fill	verb			m-l-y	Peal	10
ܦܪܫ	prāš	to separate	verb			p-r-š	Aphel	10
ܠܐ	lā	not	particle				3
ܟܠܐ	kulleh	all	noun	m	emphatic		5
ܢܐܥܡܘܕܝܬܐ	maʿmūdīttā	baptism	noun	f	emphatic		5
ܢܡܕܐ	mandā	knowledge	noun	m	emphatic		10
ܢܒܘܬܐ	nebūttā	prophecy	noun	f	emphatic		5
ܢܘܠܘܬܐ	nūlūttā	widowhood	noun	f	emphatic		10
ܨܠܘܬܐ	ṣlūttā	prayer	noun	f	emphatic		6
ܨܒܐ	ṣābē	to wish	verb			ṣ-b-y	Peal	9
ܨܒܝܢܐ	ṣebyānā	will, desire	noun	m	emphatic		9
ܨܘܩܪܒܢܐ	qūrbānā	offering	noun	m	emphatic		6
ܡܚܝ	mḥā	to strike	verb			m-ḥ-y	Peal	11
ܡܠܓ	mlā	to fill	verb			m-l-y	Peal	10
