Syriac	Transliteration	English	PartOfSpeech	Gender	Lesson	Notes
ܐܢܬܘܢ	ʾantūn	You (m.pl)	pronoun		01	ʾantum (أنتم)
ܐܬܪܐ	ʾatrā	place, country	noun	m	01	
ܐܕܢܐ	ʾednā	ear	noun	f	01	
ܐܢܐ	ʾenā	I	pronoun		01	anā (أنا)
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f	01	
ܥܝܢܐ	ʿaynā	eye	noun	f	01	
ܚܝܠܐ	ḥaylā	power, army	noun	m	01	
ܚܝܐ	ḥayyē	Life	noun	m.pl	01	Root *ḥ-y-y*. Plural form (like Heb *ḥayyīm*)
ܚܢܢ	ḥnan	We	pronoun		01	naḥnu (نحن)
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f	01	
ܛܒܐ	ṭābā	Good	noun	m	01	Adjective behaving as noun. Heb *ṭōb*
ܕܒܩܘܬܐ	dəbqūttā	clinging, adherence	noun	f	02	root: d-b-q; from root d-b-q
ܕܒܪܢܐ	dəbrānā	word, matter	noun	m	02	root: d-b-r; related to d-b-r
ܕܟܪܢܐ	dəkrānā	memory, remembrance	noun	m	02	root: d-k-r; from root d-k-r
ܕܠܘܬܐ	dəlūttā	poverty, want	noun	f	02	root: d-l-l; noun; abstract noun
ܓܕܘܠܘܬܐ	gdūlūttā	greatness, grandeur	noun	f	02	root: g-d-l; from root g-d-l
ܓܡܪܘܬܐ	gəmrūttā	completion, fulfillment	noun	f	02	root: g-m-r; from root g-m-r
ܓܡܠܘܬܐ	gəmālūttā	kindness, mercy	noun	f	02	root: g-m-l; from root g-m-l
ܓܛܪܢܐ	gəṭrānā	enclosure, fence	noun	m	02	root: g-ṭ-r; from root g-ṭ-r
ܟܦܪܐ	kəprā	village, hamlet	noun	m	02	root: k-p-r; noun; place noun
ܠܒܘܫܐ	lbūšā	garment, clothing	noun	m	02	root: l-b-š; from root l-b-š
ܠܓܕܬܐ	ləgdəttā	overtaking, capture	noun	f	02	root: l-g-d; from root l-g-d
ܦܘܠܚܢܐ	pūlḥānā	labor, toil	noun	m	02	root: p-l-ḥ; from root p-l-ḥ
ܦܓܥܢܐ	pəgʿānā	encounter, meeting	noun	m	02	root: p-g-ʿ; from root p-g-ʿ
ܦܠܓܘܬܐ	pəlgūttā	division, share	noun	f	02	root: p-l-g; from root p-l-g
ܦܩܪܐ	pəqrā	opening, aperture	noun	m	02	root: p-q-r; from root p-q-r
ܦܣܡܐ	pəsmā	measure, standard	noun	m	02	root: p-s-m; noun
ܩܕܘܫܘܬܐ	qdūšūttā	holiness, sanctity	noun	f	02	root: q-d-š; from root q-d-š
ܩܠܦܬܐ	qəlpəttā	shell, exterior	noun	f	02	root: q-l-p; noun
ܪܘܓܙܢܐ	rūgzānā	rage, wrath	noun	m	02	root: r-g-z; from root r-g-z
ܪܘܡܘܬܐ	rūmūttā	height, elevation	noun	f	02	root: r-w-m; from root r-w-m
ܝܕܥܘܬܐ	ydāʿūttā	knowledge	noun	f	02	root: y-d-ʿ; from root y-d-ʿ
ܫܒܬܐ	šabbetā	sabbath, week	noun	f	02	root: š-b-t
ܫܠܡܘܬܐ	šəlmūttā	completeness, wholeness	noun	f	02	root: š-l-m; from root š-l-m
ܫܡܪܢܐ	šəmrānā	guard, watchfulness	noun	m	02	root: š-m-r; from root š-m-r
ܫܢܘܬܐ	šənūttā	change, alteration	noun	f	02	root: š-n-y; from root š-n-y
ܫܦܥܐ	šəpʿā	abundance, plenty	noun	m	02	root: š-p-ʿ; from root š-p-ʿ
ܐܨܒܥܐ	ʾəṣḇʿā	finger	noun	f	02	root: ʾ-ṣ-b; body part
ܥܠܩܐ	ʿalqā	ascent, stairway	noun	m	02	root: ʿ-l-q; from root ʿ-l-q
ܥܪܘܬܐ	ʿərūttā	nakedness, shame	noun	f	02	root: ʿ-r-y; from root ʿ-r-y
ܛܘܫܢܐ	ṭūšānā	strength, might	noun	m	02	root: ṭ-w-š; from root ṭ-w-š
ܕܝܠ	dyāl	to give birth	verb		03	root: d-y-l; narrative verb, past action
ܕܡܥܘܬܐ	dəmʿūttā	weeping, tears	noun	f	03	root: d-m-ʿ; from root d-m-ʿ
ܕܪܟܘܬܐ	dərəkūttā	treading, passage	noun	f	03	root: d-r-k; from root d-r-k
ܓܠܕܘܬܐ	gəldūttā	uncovering, nakedness	noun	f	03	root: g-l-d; from root g-l-d
ܓܢܘܒܘܬܐ	gənūbūttā	theft, stealing	noun	f	03	root: g-n-b; from root g-n-b
ܓܪܒܘܬܐ	gərbūttā	scraping, scratching	noun	f	03	root: g-r-b; from root g-r-b
ܟܘܘܬܐ	kūwūttā	substance, being	noun	f	03	root: k-w-n; from root k-w-n
ܠܓܕܘܬܐ	ləgdūttā	seizing, capture	noun	f	03	root: l-g-d; from root l-g-d
ܡܕܒܪܢܐ	mədbərānā	leader, guide	noun	m	03	root: d-b-r; from root d-b-r
ܢܦܩܘܬܐ	napəqūttā	going out, exit	noun	f	03	root: n-p-q; from root n-p-q
ܢܛܪܘܬܐ	nəṭrūttā	watching, guarding	noun	f	03	root: n-ṭ-r; from root n-ṭ-r
ܦܘܡܟܢܐ	pūmkānā	speaker	noun	m	03	root: p-w-m; from root p-w-m
ܦܓܥܘܬܐ	pəgʿūttā	striking, blow	noun	f	03	root: p-g-ʿ; from root p-g-ʿ
ܦܠܟܘܬܐ	pəlkūttā	flight, escape	noun	f	03	root: p-l-k; from root p-l-k
ܦܠܚܘܬܐ	pəlḥūttā	service, labor	noun	f	03	root: p-l-ḥ; from root p-l-ḥ
ܦܪܓܢܐ	pərgānā	authority, ruler	noun	m	03	root: p-r-g; noun
ܩܪܒܘܬܐ	qərbūttā	drawing near, approach	noun	f	03	root: q-r-b; from root q-r-b
ܩܛܠܘܬܐ	qəṭlūttā	slaughter, killing	noun	f	03	root: q-ṭ-l; from root q-ṭ-l
ܪܕܦܘܬܐ	rədu̲pūttā	pursuit, chasing	noun	f	03	root: r-d-p; from root r-d-p
ܪܓܡܘܬܐ	rəgmūttā	stoning, lapidation	noun	f	03	root: r-g-m; from root r-g-m
ܣܠܩ	sālaq	to ascend, climb	verb		03	root: s-l-q; narrative verb, common in Peshitta
ܣܒܥܘܬܐ	səbʿūttā	satisfaction, plenty	noun	f	03	root: s-b-ʿ; from root s-b-ʿ
ܫܘܒܩܢܐ	šūbqānā	(one) abandoned	noun	m	03	root: š-b-q; from root š-b-q
ܫܒܘܩܘܬܐ	šəbūqūttā	abandonment, leaving	noun	f	03	root: š-b-q; from root š-b-q
ܫܡܪܘܬܐ	šəmrūttā	guarding, keeping	noun	f	03	root: š-m-r; from root š-m-r
ܥܡܕܐ	ʿamdā	pillar, column	noun	m	03	root: ʿ-m-d; noun
ܥܩܪ	ʿaqar	to root out, dig	verb		03	root: ʿ-q-r; narrative verb, past action
ܥܠܩܘܬܐ	ʿəlqūttā	ascent, rising	noun	f	03	root: ʿ-l-q; from root ʿ-l-q
ܥܪܩܘܬܐ	ʿərəqūttā	flight, fleeing	noun	f	03	root: ʿ-r-q; from root ʿ-r-q
ܚܡܡܘܬܐ	ḥəmmūttā	heat, fervor	noun	f	03	root: ḥ-m-m; from root ḥ-m-m
	bar / brā	Son	noun	m	04	
	bart / brattā	Daughter	noun	f	04	
	bēt / baytā	House	noun		04	
ܕܪܥܐ	darʿā	arm	noun	f	04	
ܓܢܒܐ	ganbā	thigh	noun	m	04	
ܓܒܘܪܐ	gibbōrā	mighty, strong	adjective	m	04	
ܟܠܬܐ	kaltā	bride	noun	f	04	
	lbūš / lbūšā	Garment	noun		04	
ܡܤܟܢܐ	meskennā	poor, humble	adjective	m	04	
	mā / mānā	What?	interrogative		04	
ܦܠܛܐ	paltā	escape, safety	noun	m	04	
ܩܠܝܠܐ	qlīllā	small, few	adjective	m	04	
	qāl / qālā	Voice (m)	noun	m	04	
	rēš / rēšā	Head (m)	noun	m	04	
ܣܦܘܬܐ	sputā	lip	noun	f	04	
ܬܠܓܐ	talggā	ridge, back	noun	m	04	
ܝܚܝܕܐ	yḥīddā	alone, unique	adjective	m	04	
	ʾab / ʾabā	Father	noun	m	04	
	ʾaykō	Where?	interrogative		04	
	ʾaḥ / ʾaḥā	Brother	noun	m	04	
	ʾem / ʾemmā	Mother	noun	f	04	
	ʾīd / ʾīdā	Hand (f)	noun	f	04	
ܥܕܠܐ	ʿaddālā	just, righteous	adjective	m	04	
ܥܓܠܐ	ʿaggālā	calf (leg part)	noun	m	04	
ܥܡܩܐ	ʿammqā	deep	adjective	m	04	
ܥܡܬܐ	ʿammtā	aunt (paternal)	noun	f	04	
ܥܡܘܪܐ	ʿammūrā	uncle (paternal)	noun	m	04	
ܥܬܝܪܐ	ʿattīrā	rich, mighty	adjective	m	04	
ܚܬܢܐ	ḥatnā	bridegroom	noun	m	04	
ܨܪܐ	ṣirē	side, rib	noun	f	04	
ܐܓܠܘܬܐ	aglūtā	revelation	noun	f	05	
ܐܠܒܘܫܐ	albūšā	clothing	noun	m	05	
ܐܠܦܘܬܐ	alpūtā	teaching	noun	f	05	
ܐܫܕܘܬܐ	asdūtā	sending	noun	f	05	
ܐܥܠܘܬܐ	aʿlūtā	ascent	noun	f	05	
ܒܪܝܬܐ	brīttā	creation	noun	f	05	From Peal brā; cf. Heb bārāʾ, Gen
ܒܘܪܟܬܐ	būrktā	blessing	noun	f	05	From b-r-k; cf. Heb bĕrākāh,
ܓܠܝܐ	glāyā	revelation	noun	f	05	From Aphel ʾaglī; cf. Gk
ܗܝܡܢܘܬܐ	haymānūttā	faith, trust	noun	f	05	Abstract noun from hayman; cf.
ܟܐܢܘܬܐ	kēnūttā	righteousness	noun	f	05	Cf. Gk dikaiosynē, Heb ṣĕdāqāh
ܡܥܡܘܕܝܬܐ	maʿmūdīttā	baptism	noun	f	05	Lit. \'immersion\'; from ʿ-m-d;
ܢܒܘܬܐ	nebūttā	prophecy	noun	f	05	From n-b-y; cf. Heb nĕbūʾāh, Gk
ܪܚܡܐ	raḥmē	mercy	noun	m.pl	05	Pl. of raḥmā; cognate with Heb
ܪܘܚܐ	rūḥā	spirit, wind	noun	f	05	f\. noun; cf. Heb rūaḥ, Arabic
ܫܕܪܐ	šedārā	sending, mission	noun	m	05	From šadar; cf. Heb shāliaḥ
ܫܪܪܐ	šrārā	truth, reality	noun	m	05	Cf. Heb ʾĕmet, Gk alētheia; šrār
ܫܘܒܚܐ	šūbḥā	glory, praise	noun	m	05	Cf. Heb kābōd; used in doxologies
ܐܓܠܐ	ʾaglā	reveal	verb	m	05	root: g-l-y; Aphel
ܐܠܒܫ	ʾalbāš	clothе	verb	m	05	root: l-b-š; Aphel
ܐܠܦܐ	ʾalpā	teach	verb	m	05	root: l-p-y; Aphel
ܐܦܩܕ	ʾapqad	entrust	verb	m	05	root: p-q-d; Aphel
ܐܩܪܒ	ʾaqrab	bring near	verb	m	05	root: q-r-b; Aphel
ܐܩܘܡ	ʾaqūm	raise, stand	verb	m	05	root: q-w-m; Aphel
ܐܪܡܝ	ʾarmī	lift up	verb	m	05	root: r-m-y; Aphel
ܐܣܬܡܐ	ʾastmā	hide	verb	m	05	root: s-t-m; Aphel
ܐܫܕܪ	ʾašdar	send	verb	m	05	root: š-d-r; Aphel
ܐܚܝܐ	ʾaḥyā	give life	verb	m	05	root: ḥ-y-y; Aphel
ܐܘܠܦܢܐ	ʾūlpānā	teaching	noun	m	05	Abstract noun from Aphel ʾallep
ܚܛܝܬܐ	ḥṭīttā	sin	noun	f	05	Cf. Gk hamartia, Heb ḥēṭ
ܨܠܘܬܐ	ṣlūttā	prayer	noun	f	05	From ṣ-l-y; cf. Heb tefillah
ܒܪܟ	barrek	bless	verb		06	Paael b-r-k; Cf. Heb Piel bērak;
ܒܣܡܐ	besmā	incense, spice	noun	m	06	Cf. Heb bōśem; Arabic balsam
ܕܟܝ	dakkī	purify	verb		06	Paael d-k-y; Factitive of \'be
ܟܢܘܫܬܐ	knūštā	synagogue	noun	f	06	From k-n-š (gather); cf. Heb kĕneset
ܟܗܢܐ	kāhnā	priest	noun	m	06	Cf. Heb kōhēn; Arabic kāhin
ܟܣܐ	kāsā	cup	noun	m	06	Cf. Heb kôs; Gk potērion
ܠܚܡܐ	laḥmā	bread, food	noun	m	06	Cf. Heb leḥem (Bethlehem = bēt
ܠܛ	laṭ	curse	verb		06	Peal l-ṭ; Antonym of barrek; cf.
ܡܕܒܚܐ	madbḥā	altar	noun	m	06	From d-b-ḥ (slaughter/sacrifice);
ܡܠܠ	mallel	speak	verb		06	Paael m-l-l; Intensive of speech;
ܡܪܡܐ	marmā	raise, exalt	verb	m	06	root: r-m-y; Paael
ܡܫܚ	mašeḥ	anoint, smear	verb		06	Paael m-š-ḥ; Root of mĕšīḥā
ܦܠܓܐ	palggā	divide	verb	m	06	root: p-l-g; Paael
ܦܠܓܘܬܐ	palġūtā	division	noun	f	06	
ܦܪܙܦܐ	parzappā	interpreter	noun	m	06	
ܦܘܩܕܢܐ	pūqdānā	commandment	noun	m	06	From p-q-d (command); cf. Heb piqqūd
ܩܒܠ	qabbel	receive	verb		06	Paael q-b-l; Cf. Arabic qabila; used
ܩܕܫ	qaddaš	sanctify	verb		06	Paael q-d-š; Cf. Heb Piel qiddēš;
ܩܕܐܫܐ	qaddāšā	make holy	verb	m	06	root: q-d-š; Paael
ܩܕܫܘܬܐ	qaddšūtā	holiness	noun	f	06	
ܩܘܪܒܢܐ	qūrbānā	offering	noun	m	06	From q-r-b (draw near/offer); cf.
ܣܓܕܐ	saggad	worship	verb	m	06	root: s-g-d; Paael
ܣܓܕܘܬܐ	saġdūtā	worship	noun	f	06	
ܣܓܕ	sgad	bow down	verb		06	Peal s-g-d; Cf. Arabic sajada; Heb
ܝܠܦ	yallep	teach	verb		06	Paael y-l-p; Factitive of \'learn\';
ܫܒܚ	šabbeḥ	praise	verb		06	Paael š-b-ḥ; Cf. Syriac šūbḥā
ܫܡܫ	šammeš	minister	verb		06	Paael š-m-š; Liturgical service; cf.
ܚܓܓ	ḥagag	feast	verb		06	Peal ḥ-g-g; Cf. Heb ḥāgag; Arabic
ܨܠܝ	ṣallī	pray	verb		06	Paael ṣ-l-y; Cf. Heb hitpallēl;
ܨܡ	ṣam	fast, abstain	verb		06	Peal ṣ-w-m; Cf. Heb ṣûm; Arabic
ܛܦܦܐ	ṭappā	strike, beat	verb	m	06	root: t-p-p; Paael
ܒܢܘܬܐ	bənūttā	building, structure	noun	f	07	root: b-n-y; III-Yodh; from III-Yodh root
ܕܘܩܐ	dūqā	bench, throne	noun	m	07	root: d-w-q; weak
ܕܘܣܐ	dūsā	trampling, subjugation	noun	m	07	root: d-w-s; weak
ܕܡܘܬܐ	dəmūttā	likeness, image	noun	f	07	root: d-m-y; from root d-m-y
ܓܘܪܐ	gūrā	dwelling, cave	noun	m	07	root: g-w-r; weak
ܗܒܝܘܢܐ	həbīyūnā	gift, offering	noun	m	07	root: y-h-b; I-Yodh
ܗܘܝܘܬܐ	həwīyūttā	being, existence	noun	f	07	root: h-w-y; III-Yodh
ܠܠܘܬܐ	ləlūttā	lamenting, wailing	noun	f	07	root: l-l-y; weak
ܢܦܝܐ	napīʾā	seer, prophet	noun	m	07	root: n-p-ʾ; I-Alaph
ܢܘܬܐ	nūttā	rest, dwelling	noun	f	07	root: n-w-t; weak
ܦܪܚܬܐ	pāraḥtā	bird	noun	f	07	
ܦܘܪܐ	pūrā	fruit	noun	m	07	root: p-w-r; weak
ܩܘܡܐ	qūmā	standing, resurrection	noun	m	07	root: q-y-m; I-Yodh
ܩܪܐ	qərā	cold	noun	m	07	root: q-r-ʾ; III-Alaph
ܩܪܘܬܐ	qərūttā	calling, vocation	noun	f	07	root: q-r-ʾ; III-Alaph; from III-Alaph root
ܘܝܪܘܬܐ	wayrūttā	shame, disgrace	noun	f	07	root: w-y-r; weak
ܝܙܦܐ	yāzəpā	beauty, form	noun	m	07	root: y-z-p; noun
ܫܘܘܕܐ	šūwəddā	testimony, witness	noun	m	07	root: š-w-d; weak
ܫܠܝܢܐ	šəlyānā	peace, wholeness	noun	m	07	root: š-l-y; weak
ܐܘܡܘܬܐ	ʾūmūttā	oneness, unity	noun	f	07	root: ʾ-w-m; from weak root ʾ-w-m
ܐܬܘܬܐ	ʾətwūttā	sign, omen	noun	f	07	root: ʾ-t-w; weak
ܐܬܝܢܘܬܐ	ʾətyānūttā	coming, arrival	noun	f	07	root: ʾ-t-y; weak; from weak root
ܥܘܕܪܢܐ	ʿawdərānā	help, aid	noun	m	07	root: ʿ-d-r; noun
ܥܠܡܘܬܐ	ʿālmūttā	worldliness, temporality	noun	f	07	root: ʿ-l-m; weak
ܥܘܢܐ	ʿōnā	strength, power	noun	m	07	root: ʿ-w-n; weak
ܥܘܩܢܐ	ʿūqqānā	knot, binding	noun	m	07	root: ʿ-q-d; weak
ܥܠܘܬܐ	ʿəlūttā	ascent, exaltation	noun	f	07	root: ʿ-l-y; I-Alaph; from I-Alaph root
ܚܕܘܬܐ	ḥadūtā	joy	noun	f	07	
ܚܙܘܬܐ	ḥazūttā	vision, sight	noun	f	07	root: ḥ-z-y; III-Yodh; from III-Yodh root
ܚܟܡܬܐ	ḥekmtā	wisdom	noun	f	07	
ܚܠܡܐ	ḥelmā	dream	noun	m	07	root: ḥ-l-m; weak
ܛܘܦܪܐ	ṭūprā	appearance, form	noun	m	07	root: ṭ-w-p; weak
ܕܚܠܐ	deḥlā	fear	noun	m	08	
	dān (Peal, Hollow)	to judge	verb		08	root: ܕ.ܘ.ܢ
	dīn / dīnā	judgment, law	noun	m	08	root: ܕܝܢܐ / ܕܝܢ
	dḥal / deḥltā	fear/reverence	noun	f	08	root: ܕܚܠܬܐ / ܕܚܠ
	gzar (Peal)	to decree/cut	verb		08	root: ܓ.ܙ.ܪ
ܟܠܒܐ	kalbā	dog	noun	m	08	
ܡܚܪܬܐ	meḥartā	tomorrow	noun	f	08	
ܢܘܪܐ	nūrā	fire	noun	f	08	
ܦܐܠܘܬܐ	pʾāltā	trust, confidence	noun	f	08	
ܦܐܪܐ	p̄īrā	fruit	noun	m	08	
	qṭal (Peal)	to kill	verb		08	root: ܩ.ܛ.ܠ
ܪܫܐ	rešā	head (leadership)	noun	m	08	
	shād (Peal)	to testify/witness	verb		08	root: ܣ.ܗ.ܕ
ܝܕܥܐ	yedʿā	knowledge	noun	m	08	
	yūm / yūmā	day	noun	m	08	root: ܝܘܡܐ / ܝܘܡ
ܙܢܐ	zannā	time, era	noun	m	08	
	zban / zabnā	time	noun	m	08	root: ܙܒܢܐ / ܙܒܢ
	īteb (Peal)	to sit/enthrone	verb		08	root: ܝ.ܬ.ܒ
ܫܘܩܐ	šūqā	street, market	noun	m	08	
ܐܦܩ	ʾappiq	I will bring out	pronoun		08	
ܐܩܕܫ	ʾaqaddeš	I will sanctify	pronoun		08	
ܐܩܛܘܠ	ʾeqṭūl	I will kill	pronoun		08	
ܐܢ	ʾin	if	conjunction/particle		08	
ܐܘܠܝܐ	ʾōlyā	perhaps	adverb		08	
	ʿdamā	until	conjunction/particle		08	root: ܥܕܡܐ
ܥܪܒܐ	ʿerbā	sheep	noun	m	08	
	ʿālam / ʿālmā	world, eternity	noun	m	08	root: ܥܠܡܐ / ܥܠܡ
ܥܩܬܐ	ʿāqtā	distress, anguish	noun	f	08	
ܚܝܘܬܐ	ḥayyūtā	animal, beast	noun	f	08	
ܛܘܪܐ	ṭūrā	mountain	noun	m	08	
		strike, smite, hit	verb		09	root: ܡܚܐ
		fear, be afraid	noun		09	root: ܕܚܠ
		rejoice, be glad	verb		09	root: ܚܕܝ
		bind, tie, imprison	verb		09	root: ܐܣܪ
		loosen, release, begin	verb		09	root: ܫܪܐ
		throw, cast	verb		09	root: ܪܡܐ
		seize, grab, take hold	verb		09	root: ܐܚܕ
		drag, pull	verb		09	root: ܓܪܪ
		flee, escape	verb		09	root: ܥܪܩ
		pursue, chase, persecute	verb		09	root: ܪܕܦ
		kill, slay	verb		09	root: ܩܛܠ
		wound, injure	verb		09	root: ܦܨܥ
		cry out, shout	verb		09	root: ܙܥܩ
		command, order	noun		09	root: ܦܩܕ
		gather, assemble	verb		09	root: ܟܢܫ
		soldier (Greek loanword:	noun		09	root: ܐܣܛܪܛܝܘܛܐ
		army; strength, power (dual	noun		09	root: ܚܝܠܐ
		sword	noun		09	root: ܣܝܦܐ
		fire	noun		09	root: ܢܘܪܐ
		furnace, oven	noun		09	root: ܐܬܘܢܐ
		chain (related to Heb. שַׁלְשֶׁלֶת)	noun		09	root: ܫܠܫܠܬܐ
		pit, cistern; den (as in	noun		09	root: ܓܘܒܐ
		prison (lit. \'house of the	noun		09	root: ܒܝܬ ܐܣܝܪ̈ܐ
		crowd, gathering, assembly	noun		09	root: ܟܢܫܐ
		voice, sound	noun		09	root: ܩܠܐ
		anger, wrath	noun		09	root: ܪܘܓܙܐ
		fear (noun; from d-ḥ-l)	noun		09	root: ܕܚܠܬܐ
		steadfastness, courage,	noun		09	root: ܐܡܝܢܘܬܐ
		command, commandment (noun	noun		09	root: ܦܘܩܕܢܐ
		will, wish, desire (key	noun		09	root: ܨܒܝܢܐ
ܕܟܐ	dkā	purify	verb		10	root: d-k-y
ܓܠܐ	glā	reveal	verb		10	root: g-l-y
ܟܠܠ	kallel	crown	verb		10	root: k-l-l; Paael
ܟܢܫ	knaš	gather	verb		10	root: k-n-š
ܡܠܐ	mlā	fill	verb		10	root: m-l-y
ܡܫܚ	mšaḥ	anoint	verb		10	root: m-š-ḥ
ܦܪܩ	praq	redeem, save	verb		10	root: p-r-q
ܩܒܪ	qbar	bury	verb		10	root: q-b-r
ܩܛܠ	qṭal	kill	verb		10	root: q-t-l
ܬܪܕ	trad	cast out, expel	verb		10	root: t-r-d
ܬܒ	tāb	return, repent	verb		10	root: t-w-b
ܝܠܕ	yled	give birth	verb		10	root: y-l-d
ܫܕܪ	šadar	send	verb		10	root: š-d-r
ܫܒܩ	šbaq	forgive, leave	verb		10	root: š-b-q
ܫܦܠ	špel	humiliate	verb		10	root: š-p-l
ܫܪܐ	šrā	loosen, release	verb		10	root: š-r-y
ܐܕܝܢ	ʾaddīn	judge	verb		10	root: d-w-n; Aphel
ܐܢܗܪ	ʾanhar	illuminate	verb		10	root: n-h-r; Aphel
ܐܦܪܫ	ʾaprash	separate, distinguish	verb		10	root: p-r-š; Aphel
ܐܩܝܡ	ʾaqīm	raise up	verb		10	root: q-w-m; Aphel
ܐܪܝܡ	ʾarīm	exalt	verb		10	root: r-w-m; Aphel
ܐܣܪ	ʾasar	bind	verb		10	root: ʾ-s-r
ܐܣܐ	ʾasī	heal	verb		10	root: ʾ-s-y
ܐܘܕܝ	ʾawdī	confess, give thanks	verb		10	root: ʾ-w-d; Aphel
ܐܚܕ	ʾaḥad	to unite, make one	verb		10	root: ʾ-ḥ-d; passive form ʾetʾaḥed (be united)
ܐܚܝ	ʾaḥyī	save, give life	verb		10	root: ḥ-y-y; Aphel
ܥܡܕ	ʿmad	baptize	verb		10	root: ʿ-m-d
ܚܝܒ	ḥayyeb	condemn, make guilty	verb		10	root: ḥ-y-b; Paael
ܚܠܡ	ḥelam	to dream	verb		10	root: ḥ-l-m; can take passive Et-stem
ܨܠܒ	ṣlab	crucify	verb		10	root: ṣ-l-b
ܕܒܩ	dābeq	to cling, adhere	verb		11	root: d-b-q; transposes object suffix
ܕܓܫ	dāgaš	to push, press	verb		11	root: d-g-š; object suffix frequent
ܕܠܗ	dāleh	to draw water	verb		11	root: d-l-h; takes object suffix
ܓܘܘܓ	gwag	to plunder, rob	verb		11	root: g-w-g; object suffix common
ܓܕܪ	gāder	to fence, hedge in	verb		11	root: g-d-r; takes object suffix
ܓܡܪܢܐ	gəmrānā	completion, fulfillment	noun	m	11	root: g-m-r; derived from g-m-r
ܠܥܕ	lāʿad	to witness, testify	verb		11	root: l-ʿ-d; object suffix usage
ܡܗܛ	mehaṭ	to cover, conceal	verb		11	root: m-ḥ-ṭ; takes object suffix
ܡܢܓ	menag	to prevent, hinder	verb		11	root: m-n-g; object suffix common
ܡܕܠܘܬܐ	mədəlūttā	poverty, humiliation	noun	f	11	root: m-d-l; from m-d-l
ܢܣܟ	nasak	to pour, cast	verb		11	root: n-s-k; common with suffixes
ܢܬܓ	nātag	to pull, draw	verb		11	root: n-t-g; object suffix usage
ܢܣܟܘܬܐ	nəskūttā	pouring, libation	noun	f	11	root: n-s-k; from n-s-k
ܦܣܥ	pāsaʿ	to cut, prune	verb		11	root: p-s-ʿ; object suffix frequent
