Syriac	Transliteration	English	PartOfSpeech	Gender	State	Root	Stem	Lesson	Notes
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				02	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				02	
ܪܓܠܐ	reglā	foot	noun	f				02	
ܫܠܡܐ	šlāmā	peace	noun	m				02	common greeting
ܐܬܪܐ	ʾatrā	place, country	noun	m				02	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				02	
ܒܣܪܐ	besrā	flesh	noun	m				02	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				02	
ܬܘܪܐ	tawrā	bull, ox	noun	m				02	
ܩܝܡܐ	qyāmā	covenant	noun	m				02	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				02	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				02	
ܥܝܢܐ	ʿaynā	eye	noun	f				02	
ܦܘܡܐ	pūmā	mouth	noun	m				02	
ܕܝܢܐ	dīnā	judgment	noun	m				02	
ܩܪܝܬܐ	qrītā	village	noun	f				03	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				03	
ܓܪܡܐ	garmā	bone	noun	m				03	
ܟܐܦܐ	kēpā	stone, rock	noun	f				03	
ܡܝܐ	mayyā	water	noun	m				03	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				03	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				03	
ܫܡܫܐ	šemšā	sun	noun	m				03	
ܬܪܥܐ	tarʿā	door, gate	noun	m				03	
ܡܫܚܐ	mešḥā	oil	noun	m				03	
ܚܝܠܐ	ḥaylā	power, army	noun	m				03	
ܐܕܢܐ	ʾednā	ear	noun	f				03	
ܩܝܣܐ	qaysā	wood, tree	noun	m				03	
ܢܗܪܐ	nahrā	river	noun	m				03	
ܣܒܪܐ	sabrā	hope	noun	m				03	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				03	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				03	
ܪܓܠܐ	reglā	foot	noun	f				03	
ܫܠܡܐ	šlāmā	peace	noun	m				03	common greeting
ܐܬܪܐ	ʾatrā	place, country	noun	m				03	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				03	
ܒܣܪܐ	besrā	flesh	noun	m				03	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				03	
ܬܘܪܐ	tawrā	bull, ox	noun	m				03	
ܩܝܡܐ	qyāmā	covenant	noun	m				03	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				03	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				03	
ܥܝܢܐ	ʿaynā	eye	noun	f				03	
ܦܘܡܐ	pūmā	mouth	noun	m				03	
ܕܝܢܐ	dīnā	judgment	noun	m				03	
	ʾab / ʾabā	Father	noun	m				04	
	ʾem / ʾemmā	Mother	noun	f				04	
	bar / brā	Son	noun	m				04	
	bart / brattā	Daughter	noun	f				04	
	ʾaḥ / ʾaḥā	Brother	noun	m				04	
	ʾīd / ʾīdā	Hand (f)	noun	f				04	
	rēš / rēšā	Head (m)	noun	m				04	
	qāl / qālā	Voice (m)	noun	m				04	
	lbūš / lbūšā	Garment	noun					04	
	bēt / baytā	House	noun					04	
	mā / mānā	What?	interrogative					04	
	ʾaykō	Where?	interrogative					04	
ܩܪܝܬܐ	qrītā	village	noun	f				04	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				04	
ܓܪܡܐ	garmā	bone	noun	m				04	
ܟܐܦܐ	kēpā	stone, rock	noun	f				04	
ܡܝܐ	mayyā	water	noun	m				04	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				04	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				04	
ܫܡܫܐ	šemšā	sun	noun	m				04	
ܬܪܥܐ	tarʿā	door, gate	noun	m				04	
ܡܫܚܐ	mešḥā	oil	noun	m				04	
ܚܝܠܐ	ḥaylā	power, army	noun	m				04	
ܐܕܢܐ	ʾednā	ear	noun	f				04	
ܩܝܣܐ	qaysā	wood, tree	noun	m				04	
ܢܗܪܐ	nahrā	river	noun	m				04	
ܣܒܪܐ	sabrā	hope	noun	m				04	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				04	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				04	
ܪܓܠܐ	reglā	foot	noun	f				04	
ܫܠܡܐ	šlāmā	peace	noun	m				04	common greeting
ܐܬܪܐ	ʾatrā	place, country	noun	m				04	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				04	
ܒܣܪܐ	besrā	flesh	noun	m				04	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				04	
ܬܘܪܐ	tawrā	bull, ox	noun	m				04	
ܩܝܡܐ	qyāmā	covenant	noun	m				04	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				04	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				04	
ܥܝܢܐ	ʿaynā	eye	noun	f				04	
ܦܘܡܐ	pūmā	mouth	noun	m				04	
ܕܝܢܐ	dīnā	judgment	noun	m				04	
ܓܠܝܐ	glāyā	revelation	noun	f				05	From Aphel ʾaglī; cf. Gk
ܫܕܪܐ	šedārā	sending, mission	noun	m				05	From šadar; cf. Heb shāliaḥ
ܒܪܝܬܐ	brīttā	creation	noun	f				05	From Peal brā; cf. Heb bārāʾ, Gen
ܪܚܡܐ	raḥmē	mercy	noun	m.pl				05	Pl. of raḥmā; cognate with Heb
ܕܝܢܐ	dīnā	judgment	noun	m				05	Cf. Heb dīn (legal judgment),
ܫܘܒܚܐ	šūbḥā	glory, praise	noun	m				05	Cf. Heb kābōd; used in doxologies
ܛܝܒܘܬܐ	ṭaybūttā	grace, goodness	noun	f				05	Abstract noun from ṭāb (good);
ܗܝܡܢܘܬܐ	haymānūttā	faith, trust	noun	f				05	Abstract noun from hayman; cf.
ܟܐܢܘܬܐ	kēnūttā	righteousness	noun	f				05	Cf. Gk dikaiosynē, Heb ṣĕdāqāh
ܚܛܝܬܐ	ḥṭīttā	sin	noun	f				05	Cf. Gk hamartia, Heb ḥēṭ
ܡܥܡܘܕܝܬܐ	maʿmūdīttā	baptism	noun	f				05	Lit. \'immersion\'; from ʿ-m-d;
ܨܠܘܬܐ	ṣlūttā	prayer	noun	f				05	From ṣ-l-y; cf. Heb tefillah
ܐܘܠܦܢܐ	ʾūlpānā	teaching	noun	m				05	Abstract noun from Aphel ʾallep
ܢܒܘܬܐ	nebūttā	prophecy	noun	f				05	From n-b-y; cf. Heb nĕbūʾāh, Gk
ܩܝܡܐ	qyāmā	covenant	noun	m				05	Double meaning: covenant (cf. Heb
ܟܬܒܐ	ktābā	scripture	noun	m				05	From k-t-b; cf. Arabic kitāb,
ܒܘܪܟܬܐ	būrktā	blessing	noun	f				05	From b-r-k; cf. Heb bĕrākāh,
ܪܘܚܐ	rūḥā	spirit, wind	noun	f				05	f\. noun; cf. Heb rūaḥ, Arabic
ܫܪܪܐ	šrārā	truth, reality	noun	m				05	Cf. Heb ʾĕmet, Gk alētheia; šrār
ܒܪܟ	barrek	bless	verb				Paael b-r-k	06	Cf. Heb Piel bērak;
ܠܛ	laṭ	curse	verb				Peal l-ṭ	06	Antonym of barrek; cf.
ܨܠܝ	ṣallī	pray	verb				Paael ṣ-l-y	06	Cf. Heb hitpallēl;
ܣܓܕ	sgad	bow down	verb				Peal s-g-d	06	Cf. Arabic sajada; Heb
ܫܡܫ	šammeš	minister	verb				Paael š-m-š	06	Liturgical service; cf.
ܝܠܦ	yallep	teach	verb				Paael y-l-p	06	Factitive of \'learn\';
ܩܕܫ	qaddaš	sanctify	verb				Paael q-d-š	06	Cf. Heb Piel qiddēš;
ܫܒܚ	šabbeḥ	praise	verb				Paael š-b-ḥ	06	Cf. Syriac šūbḥā
ܩܒܠ	qabbel	receive	verb				Paael q-b-l	06	Cf. Arabic qabila; used
ܡܠܠ	mallel	speak	verb				Paael m-l-l	06	Intensive of speech;
ܕܟܝ	dakkī	purify	verb				Paael d-k-y	06	Factitive of \'be
ܡܫܚ	mašeḥ	anoint, smear	verb				Paael m-š-ḥ	06	Root of mĕšīḥā
ܨܡ	ṣam	fast, abstain	verb				Peal ṣ-w-m	06	Cf. Heb ṣûm; Arabic
ܚܓܓ	ḥagag	feast	verb				Peal ḥ-g-g	06	Cf. Heb ḥāgag; Arabic
ܡܕܒܚܐ	madbḥā	altar	noun	m				06	From d-b-ḥ (slaughter/sacrifice);
ܟܗܢܐ	kāhnā	priest	noun	m				06	Cf. Heb kōhēn; Arabic kāhin
ܗܝܟܠܐ	hayklā	temple	noun	m				06	Cf. Heb hēḵāl (from Akkadian
ܟܢܘܫܬܐ	knūštā	synagogue	noun	f				06	From k-n-š (gather); cf. Heb kĕneset
ܩܘܪܒܢܐ	qūrbānā	offering	noun	m				06	From q-r-b (draw near/offer); cf.
ܒܣܡܐ	besmā	incense, spice	noun	m				06	Cf. Heb bōśem; Arabic balsam
ܡܝܐ	mayyā	water	noun	m.pl				06	Pl. form standard; cf. Heb mayim,
ܡܫܚܐ	mešḥā	oil, ointment	noun	m				06	From m-š-ḥ (anoint); root of Messiah
ܠܚܡܐ	laḥmā	bread, food	noun	m				06	Cf. Heb leḥem (Bethlehem = bēt
ܟܣܐ	kāsā	cup	noun	m				06	Cf. Heb kôs; Gk potērion
ܢܡܘܣܐ	nāmūsā	law, Torah	noun	m				06	From Gk nomos via Aramaic
ܨܠܘܬܐ	ṣlūttā	prayer	noun	f				06	Abstract noun from ṣ-l-y (Paael)
ܦܘܩܕܢܐ	pūqdānā	commandment	noun	m				06	From p-q-d (command); cf. Heb piqqūd
ܩܪܝܬܐ	qrītā	village	noun	f				07	
ܠܫܢܐ	leššānā	tongue, language	noun	m				07	
ܓܪܡܐ	garmā	bone	noun	m				07	
ܟܐܦܐ	kēpā	stone, rock	noun	f				07	
ܡܝܐ	mayyā	water	noun	m.pl				07	
ܢܘܢܐ	nūnā	fish	noun	m				07	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				07	
ܫܡܫܐ	šemšā	sun	noun	m				07	
ܡܫܚܐ	mešḥā	oil	noun	m				07	
ܚܝܠܐ	ḥaylā	power, army	noun	m				07	
ܐܕܢܐ	ʾednā	ear	noun	f				07	
ܩܝܣܐ	qaysā	wood, tree	noun	m				07	
ܢܗܪܐ	nahrā	river	noun	m				07	
ܣܒܪܐ	sabrā	hope	noun	m				07	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				07	
ܣܗܪܐ	sahrā	moon	noun	m				07	
ܪܓܠܐ	reglā	foot	noun	f				07	
ܫܠܡܐ	šlāmā	peace	noun	m				07	
ܐܬܪܐ	ʾatrā	place, country	noun	m				07	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				07	
ܒܣܪܐ	besrā	flesh	noun	m				07	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				07	
ܬܘܪܐ	tawrā	bull, ox	noun	m				07	
ܩܝܡܐ	qyāmā	covenant	noun	m				07	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				07	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				07	
ܥܝܢܐ	ʿaynā	eye	noun	f				07	
ܦܘܡܐ	pūmā	mouth	noun	m				07	
ܕܝܢܐ	dīnā	judgment	noun	m				07	
ܦܪܚܬܐ	pāraḥtā	bird	noun	f				07	
ܚܕܘܬܐ	ḥadūtā	joy	noun	f				07	
ܚܟܡܬܐ	ḥekmtā	wisdom	noun	f				07	
ܐܩܛܘܠ	ʾeqṭūl	I will kill	pronoun					08	
ܐܩܕܫ	ʾaqaddeš	I will sanctify	pronoun					08	
ܐܦܩ	ʾappiq	I will bring out	pronoun					08	
	zban / zabnā	time	noun	m		ܙܒܢܐ / ܙܒܢ		08	
	ʿdamā	until	conjunction/particle			ܥܕܡܐ		08	
	dīn / dīnā	judgment, law	noun	m		ܕܝܢܐ / ܕܝܢ		08	
	ʿālam / ʿālmā	world, eternity	noun	m		ܥܠܡܐ / ܥܠܡ		08	
	yūm / yūmā	day	noun	m		ܝܘܡܐ / ܝܘܡ		08	
	shād (Peal)	to testify/witness	verb			ܣ.ܗ.ܕ		08	
	gzar (Peal)	to decree/cut	verb			ܓ.ܙ.ܪ		08	
	īteb (Peal)	to sit/enthrone	verb			ܝ.ܬ.ܒ		08	
	qṭal (Peal)	to kill	verb			ܩ.ܛ.ܠ		08	
	dḥal / deḥltā	fear/reverence	noun	f		ܕܚܠܬܐ / ܕܚܠ		08	
	dān (Peal, Hollow)	to judge	verb			ܕ.ܘ.ܢ		08	
ܩܪܝܬܐ	qrītā	village	noun	f				08	
ܠܫܢܐ	leššānā	tongue, language	noun	m				08	
ܓܪܡܐ	garmā	bone	noun	m				08	
ܟܐܦܐ	kēpā	stone, rock	noun	f				08	
ܢܘܢܐ	nūnā	fish	noun	m				08	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				08	
ܫܡܫܐ	šemšā	sun	noun	m				08	
ܬܪܥܐ	tarʿā	door, gate	noun	m				08	
ܡܫܚܐ	mešḥā	oil	noun	m				08	
ܚܝܠܐ	ḥaylā	power, army	noun	m				08	
ܐܕܢܐ	ʾednā	ear	noun	f				08	
ܩܝܣܐ	qaysā	wood, tree	noun	m				08	
ܢܗܪܐ	nahrā	river	noun	m				08	
ܣܒܪܐ	sabrā	hope	noun	m				08	
ܣܗܪܐ	sahrā	moon	noun	m				08	
ܪܓܠܐ	reglā	foot	noun	f				08	
ܫܠܡܐ	šlāmā	peace	noun	m				08	
ܐܬܪܐ	ʾatrā	place, country	noun	m				08	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				08	
ܒܣܪܐ	besrā	flesh	noun	m				08	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				08	
ܬܘܪܐ	tawrā	bull, ox	noun	m				08	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				08	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				08	
ܥܝܢܐ	ʿaynā	eye	noun	f				08	
ܦܘܡܐ	pūmā	mouth	noun	m				08	
ܦܪܚܬܐ	pāraḥtā	bird	noun	f				08	
ܚܕܘܬܐ	ḥadūtā	joy	noun	f				08	
ܚܟܡܬܐ	ḥekmtā	wisdom	noun	f				08	
ܚܝܘܬܐ	ḥayyūtā	animal, beast	noun	f				08	
ܦܐܪܐ	p̄īrā	fruit	noun	m				08	
ܟܠܒܐ	kalbā	dog	noun	m				08	
ܥܪܒܐ	ʿerbā	sheep	noun	m				08	
ܛܘܪܐ	ṭūrā	mountain	noun	m				08	
ܫܘܩܐ	šūqā	street, market	noun	m				08	
ܥܩܬܐ	ʿāqtā	distress, anguish	noun	f				08	
ܢܘܪܐ	nūrā	fire	noun	f				08	
ܪܚܡܐ	raḥmē	mercy	noun	m.pl				08	
		strike, smite, hit	verb			ܡܚܐ		09	
		fear, be afraid	noun			ܕܚܠ		09	
		rejoice, be glad	verb			ܚܕܝ		09	
		bind, tie, imprison	verb			ܐܣܪ		09	
		loosen, release, begin	verb			ܫܪܐ		09	
		throw, cast	verb			ܪܡܐ		09	
		seize, grab, take hold	verb			ܐܚܕ		09	
		drag, pull	verb			ܓܪܪ		09	
		flee, escape	verb			ܥܪܩ		09	
		pursue, chase, persecute	verb			ܪܕܦ		09	
		kill, slay	verb			ܩܛܠ		09	
		wound, injure	verb			ܦܨܥ		09	
		cry out, shout	verb			ܙܥܩ		09	
		command, order	noun			ܦܩܕ		09	
		gather, assemble	verb			ܟܢܫ		09	
		soldier (Greek loanword:	noun			ܐܣܛܪܛܝܘܛܐ		09	
		army; strength, power (dual	noun			ܚܝܠܐ		09	
		sword	noun			ܣܝܦܐ		09	
		fire	noun			ܢܘܪܐ		09	
		furnace, oven	noun			ܐܬܘܢܐ		09	
		chain (related to Heb. שַׁלְשֶׁלֶת)	noun			ܫܠܫܠܬܐ		09	
		pit, cistern; den (as in	noun			ܓܘܒܐ		09	
		prison (lit. \'house of the	noun			ܒܝܬ ܐܣܝܪ̈ܐ		09	
		crowd, gathering, assembly	noun			ܟܢܫܐ		09	
		voice, sound	noun			ܩܠܐ		09	
		anger, wrath	noun			ܪܘܓܙܐ		09	
		fear (noun; from d-ḥ-l)	noun			ܕܚܠܬܐ		09	
		steadfastness, courage,	noun			ܐܡܝܢܘܬܐ		09	
		command, commandment (noun	noun			ܦܘܩܕܢܐ		09	
		will, wish, desire (key	noun			ܨܒܝܢܐ		09	
ܥܡܕ	ʿmad	baptize	verb			ʿ-m-d	Peal	10	
ܓܠܐ	glā	reveal	verb			g-l-y	Peal	10	
ܐܚܝ	ʾaḥyī	save, give life	verb			ḥ-y-y	Aphel	10	
ܩܛܠ	qṭal	kill	verb			q-t-l	Peal	10	
ܐܣܪ	ʾasar	bind	verb			ʾ-s-r	Peal	10	
ܫܪܐ	šrā	loosen, release	verb			š-r-y	Peal	10	
ܫܕܪ	šadar	send	verb			š-d-r	Peal	10	
ܐܣܐ	ʾasī	heal	verb			ʾ-s-y	Peal	10	
ܐܩܝܡ	ʾaqīm	raise up	verb			q-w-m	Aphel	10	
ܟܢܫ	knaš	gather	verb			k-n-š	Peal	10	
ܕܟܐ	dkā	purify	verb			d-k-y	Peal	10	
ܫܒܩ	šbaq	forgive, leave	verb			š-b-q	Peal	10	
ܒܪܟ	barrek	bless	verb			b-r-k	Paael	10	
ܝܠܦ	yallep	teach	verb			y-l-p	Paael	10	
ܡܫܚ	mšaḥ	anoint	verb			m-š-ḥ	Peal	10	
ܨܠܒ	ṣlab	crucify	verb			ṣ-l-b	Peal	10	
ܩܒܪ	qbar	bury	verb			q-b-r	Peal	10	
ܐܕܝܢ	ʾaddīn	judge	verb			d-w-n	Aphel	10	
ܚܝܒ	ḥayyeb	condemn, make guilty	verb			ḥ-y-b	Paael	10	
ܦܪܩ	praq	redeem, save	verb			p-r-q	Peal	10	
ܟܠܠ	kallel	crown	verb			k-l-l	Paael	10	
ܐܪܝܡ	ʾarīm	exalt	verb			r-w-m	Aphel	10	
ܫܦܠ	špel	humiliate	verb			š-p-l	Peal	10	
ܬܪܕ	trad	cast out, expel	verb			t-r-d	Peal	10	
ܐܘܕܝ	ʾawdī	confess, give thanks	verb			ʾ-w-d	Aphel	10	
ܬܒ	tāb	return, repent	verb			t-w-b	Peal	10	
ܝܠܕ	yled	give birth	verb			y-l-d	Peal	10	
ܐܢܗܪ	ʾanhar	illuminate	verb			n-h-r	Aphel	10	
ܡܠܐ	mlā	fill	verb			m-l-y	Peal	10	
ܐܦܪܫ	ʾaprash	separate, distinguish	verb			p-r-š	Aphel	10	
ܩܪܝܬܐ	qrītā	village	noun	f				11	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				11	
ܓܪܡܐ	garmā	bone	noun	m				11	
ܟܐܦܐ	kēpā	stone, rock	noun	f				11	
ܡܝܐ	mayyā	water	noun	m				11	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				11	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				11	
ܫܡܫܐ	šemšā	sun	noun	m				11	
ܬܪܥܐ	tarʿā	door, gate	noun	m				11	
ܡܫܚܐ	mešḥā	oil	noun	m				11	
ܚܝܠܐ	ḥaylā	power, army	noun	m				11	
ܐܕܢܐ	ʾednā	ear	noun	f				11	
ܩܝܣܐ	qaysā	wood, tree	noun	m				11	
ܢܗܪܐ	nahrā	river	noun	m				11	
ܣܒܪܐ	sabrā	hope	noun	m				11	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				11	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				11	
ܪܓܠܐ	reglā	foot	noun	f				11	
ܫܠܡܐ	šlāmā	peace	noun	m				11	common greeting
ܐܬܪܐ	ʾatrā	place, country	noun	m				11	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				11	
ܒܣܪܐ	besrā	flesh	noun	m				11	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				11	
ܬܘܪܐ	tawrā	bull, ox	noun	m				11	
ܩܝܡܐ	qyāmā	covenant	noun	m				11	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				11	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				11	
ܥܝܢܐ	ʿaynā	eye	noun	f				11	
ܦܘܡܐ	pūmā	mouth	noun	m				11	
ܕܝܢܐ	dīnā	judgment	noun	m				11	
ܗܢܐ	hānā	this (m)	demonstrative	m				12	
ܗܕܐ	hādē	this (f)	demonstrative	f				12	
ܗܠܝܢ	hāllēn	these (c)	demonstrative	c.pl				12	
ܗܘ	haw	that (m)	demonstrative	m				12	
ܗܝ	hāy	that (f)	demonstrative	f				12	
ܗܢܘܢ	hānōn	those (m)	demonstrative	m.pl				12	
ܗܢܝܢ	hānēn	those (f)	demonstrative	f.pl				12	
		One	numeral					12	
		Two	numeral					12	
		Three	numeral					12	
		Four	numeral					12	
		Five	numeral					12	
		Six	numeral					12	
		Seven	numeral					12	
		Eight	numeral					12	
		Nine	numeral					12	
		Ten	numeral					12	
ܫܪܪܐ	šrārā	truth, reality	noun	m				12	Root š-r-r (to be firm). Cf. Heb *ʾĕmet*
ܫܠܡܐ	šlāmā	peace, greeting	noun	m				12	Root š-l-m. Heb *Shalom*, Arabic *Salam*
ܚܝܐ	ḥayyē	life	noun	m.pl				12	Used heavily by John in the NT
ܥܠܡܐ	ʿālmā	world, eternity	noun	m				12	Temporal and spatial boundary
ܗܟܢ	hākannā	thus, so	adverb					12	
ܐܢ	ʾen	if	conjunction/particle	conj				12	Introduces condition
ܚܫܘܟܐ	ḥešūḵā	darkness	noun	m				12	Antonym of *nūhrā* (light)
